species,park,observations
Puma concolor,Yosemite National Park,408
Puma concolor,Bryce National Park,311
Puma concolor,Yellowstone National Park,753
Sphaeralcea coccinea,Great Smoky Mountains National Park,52
Sphaeralcea coccinea,Yosemite National Park,142
Sphaeralcea coccinea,Bryce National Park,108
Sphaeralcea coccinea,Yellowstone National Park,281
Hypentelium nigricans,Great Smoky Mountains National Park,54
Hypentelium nigricans,Yosemite National Park,158
Hypentelium nigricans,Bryce National Park,110
Hypentelium nigricans,Yellowstone National Park,250
Cryptantha affinis,Great Smoky Mountains National Park,41
Cryptantha affinis,Yosemite National Park,153
Cryptantha affinis,Bryce National Park,105
Cryptantha affinis,Yellowstone National Park,258
Pellaea atropurpurea,Great Smoky Mountains National Park,53
Pellaea atropurpurea,Yosemite National Park,134
Pellaea atropurpurea,Bryce National Park,115
Pellaea atropurpurea,Yellowstone National Park,248
Platanus occidentalis,Great Smoky Mountains National Park,98
Platanus occidentalis,Yosemite National Park,161
Platanus occidentalis,Bryce National Park,100
Platanus occidentalis,Yellowstone National Park,235
Plantago rugelii,Great Smoky Mountains National Park,78
Plantago rugelii,Yosemite National Park,111
Plantago rugelii,Bryce National Park,108
Plantago rugelii,Yellowstone National Park,223
Lewisia nevadensis,Great Smoky Mountains National Park,43
Lewisia nevadensis,Yosemite National Park,128
Lewisia nevadensis,Bryce National Park,82
Lewisia nevadensis,Yellowstone National Park,268
Arenaria congesta var. subcongesta,Great Smoky Mountains National Park,90
Arenaria congesta var. subcongesta,Yosemite National Park,148
Arenaria congesta var. subcongesta,Bryce National Park,103
Arenaria congesta var. subcongesta,Yellowstone National Park,230
Calystegia sepium,Great Smoky Mountains National Park,53
Calystegia sepium,Yosemite National Park,112
Calystegia sepium,Bryce National Park,89
Calystegia sepium,Yellowstone National Park,218
Carex backii,Great Smoky Mountains National Park,58
Carex backii,Yosemite National Park,135
Carex backii,Bryce National Park,99
Carex backii,Yellowstone National Park,282
Betula nigra,Great Smoky Mountains National Park,42
Betula nigra,Yosemite National Park,141
Betula nigra,Bryce National Park,106
Betula nigra,Yellowstone National Park,281
Quercus,Great Smoky Mountains National Park,60
Quercus,Yosemite National Park,103
Quercus,Bryce National Park,59
Quercus,Yellowstone National Park,266
Spiraea prunifolia,Great Smoky Mountains National Park,48
Spiraea prunifolia,Yosemite National Park,173
Spiraea prunifolia,Bryce National Park,105
Spiraea prunifolia,Yellowstone National Park,275
Andropogon glomeratus,Great Smoky Mountains National Park,82
Andropogon glomeratus,Yosemite National Park,135
Andropogon glomeratus,Bryce National Park,65
Andropogon glomeratus,Yellowstone National Park,264
Didymodon fallax var. reflexus,Great Smoky Mountains National Park,67
Didymodon fallax var. reflexus,Yosemite National Park,163
Didymodon fallax var. reflexus,Bryce National Park,91
Didymodon fallax var. reflexus,Yellowstone National Park,208
Rhynchospora alba,Great Smoky Mountains National Park,101
Rhynchospora alba,Yosemite National Park,145
Rhynchospora alba,Bryce National Park,88
Rhynchospora alba,Yellowstone National Park,254
Accipiter cooperii,Great Smoky Mountains National Park,65
Accipiter cooperii,Yosemite National Park,138
Accipiter cooperii,Bryce National Park,95
Accipiter cooperii,Yellowstone National Park,245
Eurycea longicauda longicauda,Great Smoky Mountains National Park,66
Eurycea longicauda longicauda,Yosemite National Park,147
Eurycea longicauda longicauda,Bryce National Park,122
Eurycea longicauda longicauda,Yellowstone National Park,258
Scleria oligantha,Great Smoky Mountains National Park,70
Scleria oligantha,Yosemite National Park,151
Scleria oligantha,Bryce National Park,121
Scleria oligantha,Yellowstone National Park,257
Orthotrichum stellatum,Great Smoky Mountains National Park,71
Orthotrichum stellatum,Yosemite National Park,178
Orthotrichum stellatum,Bryce National Park,131
Orthotrichum stellatum,Yellowstone National Park,222
Rhododendron maximum,Great Smoky Mountains National Park,88
Rhododendron maximum,Yosemite National Park,148
Rhododendron maximum,Bryce National Park,100
Rhododendron maximum,Yellowstone National Park,238
Morus alba,Great Smoky Mountains National Park,49
Morus alba,Yosemite National Park,161
Morus alba,Bryce National Park,106
Morus alba,Yellowstone National Park,231
Sambucus racemosa var. racemosa,Great Smoky Mountains National Park,77
Sambucus racemosa var. racemosa,Yosemite National Park,178
Sambucus racemosa var. racemosa,Bryce National Park,142
Sambucus racemosa var. racemosa,Yellowstone National Park,255
Nemacladus interior,Great Smoky Mountains National Park,78
Nemacladus interior,Yosemite National Park,181
Nemacladus interior,Bryce National Park,100
Nemacladus interior,Yellowstone National Park,230
Sphagnum subsecundum,Great Smoky Mountains National Park,73
Sphagnum subsecundum,Yosemite National Park,141
Sphagnum subsecundum,Bryce National Park,69
Sphagnum subsecundum,Yellowstone National Park,209
Euphagus cyanocephalus,Great Smoky Mountains National Park,99
Euphagus cyanocephalus,Yosemite National Park,119
Euphagus cyanocephalus,Bryce National Park,79
Euphagus cyanocephalus,Yellowstone National Park,241
Eleocharis quinqueflora,Great Smoky Mountains National Park,43
Eleocharis quinqueflora,Yosemite National Park,142
Eleocharis quinqueflora,Bryce National Park,106
Eleocharis quinqueflora,Yellowstone National Park,243
Crotalaria sagittalis,Great Smoky Mountains National Park,72
Crotalaria sagittalis,Yosemite National Park,173
Crotalaria sagittalis,Bryce National Park,56
Crotalaria sagittalis,Yellowstone National Park,248
Erechtites hieracifolia,Great Smoky Mountains National Park,115
Erechtites hieracifolia,Yosemite National Park,134
Erechtites hieracifolia,Bryce National Park,104
Erechtites hieracifolia,Yellowstone National Park,240
Scrophularia marilandica,Great Smoky Mountains National Park,54
Scrophularia marilandica,Yosemite National Park,132
Scrophularia marilandica,Bryce National Park,89
Scrophularia marilandica,Yellowstone National Park,270
Viola blanda var. blanda,Great Smoky Mountains National Park,108
Viola blanda var. blanda,Yosemite National Park,175
Viola blanda var. blanda,Bryce National Park,140
Viola blanda var. blanda,Yellowstone National Park,245
Hordeum murinum ssp. murinum,Great Smoky Mountains National Park,82
Hordeum murinum ssp. murinum,Yosemite National Park,115
Hordeum murinum ssp. murinum,Bryce National Park,78
Hordeum murinum ssp. murinum,Yellowstone National Park,232
Calcarius lapponicus,Great Smoky Mountains National Park,104
Calcarius lapponicus,Yosemite National Park,95
Calcarius lapponicus,Bryce National Park,91
Calcarius lapponicus,Yellowstone National Park,246
Agrostis mertensii,Great Smoky Mountains National Park,141
Agrostis mertensii,Yosemite National Park,263
Agrostis mertensii,Bryce National Park,162
Agrostis mertensii,Yellowstone National Park,522
Seiurus aurocapilla,Great Smoky Mountains National Park,13
Seiurus aurocapilla,Yosemite National Park,136
Seiurus aurocapilla,Bryce National Park,86
Seiurus aurocapilla,Yellowstone National Park,216
Chelone lyonii,Great Smoky Mountains National Park,62
Chelone lyonii,Yosemite National Park,153
Chelone lyonii,Bryce National Park,133
Chelone lyonii,Yellowstone National Park,244
Viburnum edule,Great Smoky Mountains National Park,61
Viburnum edule,Yosemite National Park,136
Viburnum edule,Bryce National Park,116
Viburnum edule,Yellowstone National Park,221
Platanthera obtusata,Great Smoky Mountains National Park,116
Platanthera obtusata,Yosemite National Park,142
Platanthera obtusata,Bryce National Park,133
Platanthera obtusata,Yellowstone National Park,285
Pseudacris maculata,Great Smoky Mountains National Park,63
Pseudacris maculata,Yosemite National Park,168
Pseudacris maculata,Bryce National Park,109
Pseudacris maculata,Yellowstone National Park,253
Chasmanthium sessiliflorum,Great Smoky Mountains National Park,70
Chasmanthium sessiliflorum,Yosemite National Park,155
Chasmanthium sessiliflorum,Bryce National Park,112
Chasmanthium sessiliflorum,Yellowstone National Park,257
Dichanthelium acuminatum var. acuminatum,Great Smoky Mountains National Park,62
Dichanthelium acuminatum var. acuminatum,Yosemite National Park,123
Dichanthelium acuminatum var. acuminatum,Bryce National Park,87
Dichanthelium acuminatum var. acuminatum,Yellowstone National Park,225
Osmorhiza berteroi,Great Smoky Mountains National Park,87
Osmorhiza berteroi,Yosemite National Park,135
Osmorhiza berteroi,Bryce National Park,108
Osmorhiza berteroi,Yellowstone National Park,263
Hackelia nervosa,Great Smoky Mountains National Park,89
Hackelia nervosa,Yosemite National Park,168
Hackelia nervosa,Bryce National Park,135
Hackelia nervosa,Yellowstone National Park,231
Poa sylvestris,Great Smoky Mountains National Park,72
Poa sylvestris,Yosemite National Park,115
Poa sylvestris,Bryce National Park,118
Poa sylvestris,Yellowstone National Park,212
Amorpha fruticosa,Great Smoky Mountains National Park,52
Amorpha fruticosa,Yosemite National Park,181
Amorpha fruticosa,Bryce National Park,126
Amorpha fruticosa,Yellowstone National Park,258
Anthemis cotula,Great Smoky Mountains National Park,166
Anthemis cotula,Yosemite National Park,332
Anthemis cotula,Bryce National Park,206
Anthemis cotula,Yellowstone National Park,509
Rumex obtusifolius,Great Smoky Mountains National Park,27
Rumex obtusifolius,Yosemite National Park,153
Rumex obtusifolius,Bryce National Park,133
Rumex obtusifolius,Yellowstone National Park,258
Clarkia rhomboidea,Great Smoky Mountains National Park,92
Clarkia rhomboidea,Yosemite National Park,173
Clarkia rhomboidea,Bryce National Park,119
Clarkia rhomboidea,Yellowstone National Park,262
Berberis canadensis,Great Smoky Mountains National Park,74
Berberis canadensis,Yosemite National Park,156
Berberis canadensis,Bryce National Park,81
Berberis canadensis,Yellowstone National Park,255
Poa bolanderi,Great Smoky Mountains National Park,80
Poa bolanderi,Yosemite National Park,135
Poa bolanderi,Bryce National Park,85
Poa bolanderi,Yellowstone National Park,261
Zonotrichia atricapilla,Great Smoky Mountains National Park,36
Zonotrichia atricapilla,Yosemite National Park,153
Zonotrichia atricapilla,Bryce National Park,94
Zonotrichia atricapilla,Yellowstone National Park,224
Pinus,Great Smoky Mountains National Park,85
Pinus,Yosemite National Park,154
Pinus,Bryce National Park,94
Pinus,Yellowstone National Park,248
Potentilla fruticosa,Great Smoky Mountains National Park,52
Potentilla fruticosa,Yosemite National Park,148
Potentilla fruticosa,Bryce National Park,71
Potentilla fruticosa,Yellowstone National Park,256
Melanerpes erythrocephalus,Great Smoky Mountains National Park,84
Melanerpes erythrocephalus,Yosemite National Park,196
Melanerpes erythrocephalus,Bryce National Park,131
Melanerpes erythrocephalus,Yellowstone National Park,244
Digitaria violascens,Great Smoky Mountains National Park,78
Digitaria violascens,Yosemite National Park,132
Digitaria violascens,Bryce National Park,112
Digitaria violascens,Yellowstone National Park,270
Hypochaeris radicata,Great Smoky Mountains National Park,195
Hypochaeris radicata,Yosemite National Park,505
Hypochaeris radicata,Bryce National Park,294
Hypochaeris radicata,Yellowstone National Park,726
Phacelia egena,Great Smoky Mountains National Park,73
Phacelia egena,Yosemite National Park,158
Phacelia egena,Bryce National Park,72
Phacelia egena,Yellowstone National Park,282
Atrichum oerstedianum,Great Smoky Mountains National Park,74
Atrichum oerstedianum,Yosemite National Park,176
Atrichum oerstedianum,Bryce National Park,105
Atrichum oerstedianum,Yellowstone National Park,244
Pinus lambertiana,Great Smoky Mountains National Park,88
Pinus lambertiana,Yosemite National Park,151
Pinus lambertiana,Bryce National Park,116
Pinus lambertiana,Yellowstone National Park,244
Thalictrum alpinum,Great Smoky Mountains National Park,65
Thalictrum alpinum,Yosemite National Park,144
Thalictrum alpinum,Bryce National Park,110
Thalictrum alpinum,Yellowstone National Park,285
Jeffersonia diphylla,Great Smoky Mountains National Park,62
Jeffersonia diphylla,Yosemite National Park,178
Jeffersonia diphylla,Bryce National Park,118
Jeffersonia diphylla,Yellowstone National Park,258
Triosteum perfoliatum,Great Smoky Mountains National Park,28
Triosteum perfoliatum,Yosemite National Park,137
Triosteum perfoliatum,Bryce National Park,121
Triosteum perfoliatum,Yellowstone National Park,257
Vaccinium parvifolium,Great Smoky Mountains National Park,89
Vaccinium parvifolium,Yosemite National Park,152
Vaccinium parvifolium,Bryce National Park,75
Vaccinium parvifolium,Yellowstone National Park,253
Sematophyllum demissum,Great Smoky Mountains National Park,66
Sematophyllum demissum,Yosemite National Park,147
Sematophyllum demissum,Bryce National Park,109
Sematophyllum demissum,Yellowstone National Park,261
Phlox stolonifera,Great Smoky Mountains National Park,37
Phlox stolonifera,Yosemite National Park,159
Phlox stolonifera,Bryce National Park,153
Phlox stolonifera,Yellowstone National Park,247
Cryptantha muricata,Great Smoky Mountains National Park,74
Cryptantha muricata,Yosemite National Park,155
Cryptantha muricata,Bryce National Park,127
Cryptantha muricata,Yellowstone National Park,267
Pseudoroegneria spicata,Great Smoky Mountains National Park,79
Pseudoroegneria spicata,Yosemite National Park,156
Pseudoroegneria spicata,Bryce National Park,134
Pseudoroegneria spicata,Yellowstone National Park,257
Prosartes maculatum,Great Smoky Mountains National Park,105
Prosartes maculatum,Yosemite National Park,143
Prosartes maculatum,Bryce National Park,97
Prosartes maculatum,Yellowstone National Park,255
Cuscuta compacta,Great Smoky Mountains National Park,108
Cuscuta compacta,Yosemite National Park,140
Cuscuta compacta,Bryce National Park,82
Cuscuta compacta,Yellowstone National Park,231
Salix farriae,Great Smoky Mountains National Park,64
Salix farriae,Yosemite National Park,157
Salix farriae,Bryce National Park,108
Salix farriae,Yellowstone National Park,266
Coreopsis tripteris,Great Smoky Mountains National Park,61
Coreopsis tripteris,Yosemite National Park,188
Coreopsis tripteris,Bryce National Park,86
Coreopsis tripteris,Yellowstone National Park,244
Vermivora celata,Great Smoky Mountains National Park,76
Vermivora celata,Yosemite National Park,106
Vermivora celata,Bryce National Park,121
Vermivora celata,Yellowstone National Park,281
Malus angustifolia,Great Smoky Mountains National Park,71
Malus angustifolia,Yosemite National Park,133
